# CREPDL inline ISO/IEC 10646 collections
# Format: number|name|codepoints (semicolon-separated lines: "start,end" or "single")
1090|EARLY DYNASTIC CUNEIFORM|74880,75087
1091|ANATOLIAN HIEROGLYPHS|82944,83583
1092|SUTTON SIGNWRITING|120832,121519
1093|OSAGE|1200,66815
1094|MONGOLIAN SUPPLEMENT|5728,71295
1095|BHAIKSUKI|7168,72815
1096|MARCHEN|7280,72895
1097|IDEOGRAPHIC SYMBOLS AND PUNCTUATION|28640,94207
1098|TANGUT|28672,100335
1099|TANGUT COMPONENTS|34816,101119
1100|GLAGOLITIC SUPPLEMENT|57344,122927
1101|SUPPLEMENTAL SYMBOLS AND PICTOGRAPHS|63744,129535
1102|HANIFI ROHINGGYA|68864,68927
1103|NEWA|5120,70783
1104|ZANABAZAR SQUARE|6656,72271
1105|SOYOMBO|6736,72367
1106|MASARAM GONDI|7424,73055
1107|NUSHU|45424,111359
1108|ADLAM|59648,125279
1109|OLD SOGDIAN|69376,69423
1110|SOGDIAN|69424,69487
1111|DOGRA|71680,71759
1112|GUNJALA GONDI|73056,73135
1113|MAKASAR|73440,73471
1114|MEDEFAIDRIN|93760,93855
1115|KANA EXTENDED-A|110848,110895
1116|MAYAN NUMERALS|119520,119551
1117|INDIC SIYAQ NUMBERS|126064,126143
1118|CHESS SYMBOLS|129536,129647
1120|ELYMAIC|69600,69631
1121|NANDINAGARI|72096,72191
1122|TAMIL SUPPLEMENT|73664,73727
1123|EGYPTIAN HIEROGLYPHS FORMAT CONTROLS|78896,78911
1124|SMALL KANA EXTENSION|110896,110959
1125|NYIAKENG PUACHUE HMONG|123136,123215
1126|WANCHO|123584,123647
1127|OTTOMAN SIYAQ NUMBERS|126208,126287
2001|CJK UNIFIED IDEOGRAPHS EXTENSION B|131072,173791
2002|CJK COMPATIBILITY IDEOGRAPHS SUPPLEMENT|194560,195103
2003|CJK UNIFIED IDEOGRAPHS EXTENSION C|173824,177983
2004|CJK UNIFIED IDEOGRAPHS EXTENSION D|177984,178207
2005|CJK UNIFIED IDEOGRAPHS EXTENSION E|178208,183983
2006|CJK UNIFIED IDEOGRAPHS EXTENSION F|183984,191471
3001|TAGS|917504,917631
3003|VARIATION SELECTORS SUPPLEMENT|917760,917999
200|ZERO-WIDTH BOUNDARY INDICATORS|8203,8205;65279
201|FORMAT SEPARATORS|8232,8233
202|BI-DIRECTIONAL FORMAT MARKS|8206,8207
203|BI-DIRECTIONAL FORMAT EMBEDDINGS|8234,8238
204|HANGUL FILL CHARACTERS|12644;65440
205|CHARACTER SHAPING SELECTORS|8298,8301
206|NUMERIC SHAPE SELECTORS|8302,8303
207|IDEOGRAPHIC DESCRIPTION CHARACTERS|12272,12287
208|CONTROL CHARACTERS|0,31;127,159
3002|ALTERNATE FORMAT CHARACTERS|917504,921599
10646|UNICODE|0,64975;65008,65533;65536,131069;131072,196605;196608,262141;262144,327677;327680,393213;393216,458749;458752,524285;524288,589821;589824,655357;655360,720893;720896,786429;786432,851965;851968,917501;917504,983037;983040,1048573;1048576,1114109
380|CJK UNIFIED IDEOGRAPHS-2001|13312,19893;19968,40869;64014,64015;64017;64019,64020;64031;64033;64035,64036;64039,64041;131072,173782
381|CJK COMPATIBILITY IDEOGRAPHS-2001|63744,64013;64016;64018;64021,64030;64032;64034;64037,64038;64042,64106;194560,195101
382|CJK UNIFIED IDEOGRAPHS-2005|13312,19893;19968,40869;40870,40891;64014,64015;64017;64019,64020;64031;64033;64035,64036;64039,64041;131072,173782
383|CJK COMPATIBILITY IDEOGRAPHS-2005|63744,64013;64016;64018;64021,64030;64032;64034;64037,64038;64042,64106;64112,64217;194560,195101
384|CJK UNIFIED IDEOGRAPHS-2007|13312,19893;19968,40869;40870,40891;40892,40899;64014,64015;64017;64019,64020;64031;64033;64035,64036;64039,64041;131072,173782
385|CJK UNIFIED IDEOGRAPHS-2008|13312,19893;19968,40869;40870,40891;40892,40899;40900,40902;64014,64015;64017;64019,64020;64031;64033;64035,64036;64039,64041;131072,173782;173824,177972
386|CJK COMPATIBILITY IDEOGRAPHS-2008|63744,64013;64016;64018;64021,64030;64032;64034;64037,64038;64042,64106;64107,64109;64112,64217;194560,195101
387|CJK UNIFIED IDEOGRAPHS-2009|13312,19893;19968,40869;40870,40891;40892,40899;40900,40902;40903,40907;64014,64015;64017;64019,64020;64031;64033;64035,64036;64039,64041;131072,173782;173824,177972;177984,178205
388|CJK UNIFIED IDEOGRAPHS-2014|13312,19893;19968,40869;40870,40891;40892,40899;40900,40902;40903,40907;64014,64015;64017;64019,64020;64031;64033;64035,64036;64039,64041;131072,173782;173824,177972;177984,178205;178208,183969
389|CJK UNIFIED IDEOGRAPHS-2016|13312,19893;19968,40869;40870,40891;40892,40899;40900,40902;40903,40907;40908,40937;64014,64015;64017;64019,64020;64031;64033;64035,64036;64039,64041;131072,173782;173824,177972;177984,178205;178208,183969;183984,191456
300|BMP|0,55295;57344,65533
401|PRIVATE USE PLANES-0F-10|983040,1114111
1000|SMP|65536,131069
2000|SIP|131072,196605
3000|SSP|917504,983037
63| ALPHABETIC PRESENTATION FORMS|64256,64284;64285,64335
250|GENERAL FORMAT CHARACTERS|8203,8205;8232,8233;8206,8207;8234,8238;65279
251|SCRIPT-SPECIFIC FORMAT CHARACTERS|12644;65440;8298,8301;8302,8303
4000|UCS PART-2|65536,131069;131072,196605;917504,983037
